"id","user_id","start_date","duration_weeks","goal_1","goal_2","goal_3","goal_weight_1","goal_weight_2","goal_weight_3","split_template","days_per_week","progression_style","hybrid_definition","disciplines_json","deload_every_n_microcycles","persona_tone","persona_aggression","is_active","created_at","is_template","visibility","name","macro_cycle_id","max_session_duration"
"60","1","2026-01-20","12","HYPERTROPHY","STRENGTH","EXPLOSIVENESS","4","3","3","HYBRID","5","DOUBLE_PROGRESSION","","[{'discipline': 'mobility', 'weight': 7}, {'discipline': 'calisthenics', 'weight': 5}, {'discipline': 'olympic_lifts', 'weight': 2}, {'discipline': 'crossfit', 'weight': 7}, {'discipline': 'strength', 'weight': 10}]","4","MOTIVATIONAL","BALANCED","False","2026-01-20 12:53:45.148533","False","PRIVATE","","","60"
"61","1","2026-01-20","12","STRENGTH","ENDURANCE","MOBILITY","4","4","2","HYBRID","5","DOUBLE_PROGRESSION","","[{'discipline': 'mobility', 'weight': 7}, {'discipline': 'calisthenics', 'weight': 5}, {'discipline': 'olympic_lifts', 'weight': 2}, {'discipline': 'crossfit', 'weight': 7}, {'discipline': 'strength', 'weight': 10}]","4","ANALYTICAL","BALANCED","False","2026-01-20 13:13:13.124863","False","PRIVATE","","","60"
"62","1","2026-01-20","12","STRENGTH","ENDURANCE","MOBILITY","4","4","2","HYBRID","5","DOUBLE_PROGRESSION","","[{'discipline': 'mobility', 'weight': 7}, {'discipline': 'calisthenics', 'weight': 5}, {'discipline': 'olympic_lifts', 'weight': 2}, {'discipline': 'crossfit', 'weight': 7}, {'discipline': 'strength', 'weight': 10}]","4","ANALYTICAL","BALANCED","False","2026-01-20 13:13:42.262278","False","PRIVATE","","","60"
"63","1","2026-01-20","8","HYPERTROPHY","STRENGTH","ENDURANCE","10","0","0","HYBRID","5","DOUBLE_PROGRESSION","","[{'discipline': 'mobility', 'weight': 7}, {'discipline': 'calisthenics', 'weight': 5}, {'discipline': 'olympic_lifts', 'weight': 2}, {'discipline': 'crossfit', 'weight': 7}, {'discipline': 'strength', 'weight': 10}]","4","SUPPORTIVE","BALANCED","False","2026-01-20 13:15:54.530182","False","PRIVATE","","","60"
"64","1","2026-01-20","12","ENDURANCE","STRENGTH","HYPERTROPHY","7","3","0","HYBRID","5","DOUBLE_PROGRESSION","","[{'discipline': 'mobility', 'weight': 7}, {'discipline': 'calisthenics', 'weight': 5}, {'discipline': 'olympic_lifts', 'weight': 2}, {'discipline': 'crossfit', 'weight': 7}, {'discipline': 'strength', 'weight': 10}]","4","ANALYTICAL","MODERATE_AGGRESSIVE","False","2026-01-20 15:23:48.584991","False","PRIVATE","","","60"
"65","1","2026-01-20","12","ENDURANCE","STRENGTH","HYPERTROPHY","7","3","0","HYBRID","5","DOUBLE_PROGRESSION","","[{'discipline': 'mobility', 'weight': 7}, {'discipline': 'calisthenics', 'weight': 5}, {'discipline': 'olympic_lifts', 'weight': 2}, {'discipline': 'crossfit', 'weight': 7}, {'discipline': 'strength', 'weight': 10}]","4","MOTIVATIONAL","MODERATE_AGGRESSIVE","False","2026-01-20 16:07:05.662408","False","PRIVATE","","","60"
"66","1","2026-01-20","12","ENDURANCE","FAT_LOSS","STRENGTH","3","6","1","HYBRID","5","DOUBLE_PROGRESSION","","[{'discipline': 'mobility', 'weight': 7}, {'discipline': 'calisthenics', 'weight': 5}, {'discipline': 'olympic_lifts', 'weight': 2}, {'discipline': 'crossfit', 'weight': 7}, {'discipline': 'strength', 'weight': 10}]","4","SUPPORTIVE","MODERATE_AGGRESSIVE","False","2026-01-20 16:21:50.663733","False","PRIVATE","","","60"
"67","1","2026-01-20","12","FAT_LOSS","STRENGTH","MOBILITY","5","3","2","UPPER_LOWER","4","DOUBLE_PROGRESSION","","[{'discipline': 'mobility', 'weight': 7}, {'discipline': 'calisthenics', 'weight': 5}, {'discipline': 'olympic_lifts', 'weight': 2}, {'discipline': 'crossfit', 'weight': 7}, {'discipline': 'strength', 'weight': 10}]","4","SUPPORTIVE","BALANCED","False","2026-01-20 17:00:12.692649","False","PRIVATE","","","60"
"68","1","2026-01-20","12","STRENGTH","FAT_LOSS","ENDURANCE","1","6","3","UPPER_LOWER","4","DOUBLE_PROGRESSION","","[{'discipline': 'mobility', 'weight': 7}, {'discipline': 'calisthenics', 'weight': 5}, {'discipline': 'olympic_lifts', 'weight': 2}, {'discipline': 'crossfit', 'weight': 7}, {'discipline': 'strength', 'weight': 10}]","4","SUPPORTIVE","BALANCED","False","2026-01-20 18:05:34.795526","False","PRIVATE","","","60"
"69","1","2026-01-20","8","STRENGTH","HYPERTROPHY","ENDURANCE","5","3","2","UPPER_LOWER","4","DOUBLE_PROGRESSION","","[{'discipline': 'mobility', 'weight': 7}, {'discipline': 'calisthenics', 'weight': 5}, {'discipline': 'olympic_lifts', 'weight': 2}, {'discipline': 'crossfit', 'weight': 7}, {'discipline': 'strength', 'weight': 10}]","4","SUPPORTIVE","BALANCED","False","2026-01-20 22:24:23.452252","False","PRIVATE","","","60"
