name,pattern,fatigue,stimulus,risk,recovery
Seated Glute,mobility,0.4,0.6,0.4,24
Seated Hamstring,mobility,0.4,0.6,0.4,24
Seated Head Harness Neck Resistance,isolation,0.4,0.6,0.4,24
Standing Cable Lift,isolation,0.4,0.6,0.4,24
Side To Side Chins,isolation,0.4,0.6,0.4,24
Single-Arm Cable Crossover,isolation,0.4,0.6,0.5,24
Single-Arm Linear Jammer,isolation,0.4,0.6,0.5,24
Sled Reverse Flye,isolation,0.4,0.6,0.4,24
Sledgehammer Swings,isolation,0.4,0.6,0.4,24
Smith Machine Behind the Back Shrug,isolation,0.4,0.6,0.4,24
Smith Machine One-Arm Upright Row,isolation,0.6,0.8,0.4,48
Spell Caster,isolation,0.4,0.6,0.4,24
Spider Crawl,isolation,0.4,0.6,0.4,24
Standing Cable Wood Chop,isolation,0.4,0.6,0.4,24
Standing Olympic Plate Hand Squeeze,isolation,0.4,0.6,0.4,24
Standing Pelvic Tilt,mobility,0.4,0.6,0.4,24
Standing Toe Touches,mobility,0.4,0.6,0.4,24
Stomach Vacuum,mobility,0.4,0.6,0.4,24
Straight-Arm Dumbbell Pullover,isolation,0.4,0.6,0.4,24
Superman,mobility,0.4,0.6,0.4,24
Suspended Fallout,isolation,0.4,0.6,0.4,24
The Straddle,mobility,0.4,0.6,0.4,24
Thigh Abductor,isolation,0.4,0.6,0.4,24
Thigh Adductor,isolation,0.4,0.6,0.4,24
Toe Touchers,mobility,0.4,0.6,0.4,24
V-Bar Pullup,isolation,0.4,0.6,0.4,24
Weighted Ball Hyperextension,isolation,0.4,0.6,0.4,24
Wide-Grip Decline Barbell Pullover,isolation,0.4,0.6,0.4,24
Wind Sprints,isolation,0.4,0.6,0.4,24
Windmills,mobility,0.4,0.6,0.4,24
Wrist Circles,mobility,0.4,0.6,0.4,24
Intermediate Groin Stretch,mobility,0.4,0.6,0.4,24
Wrist Roller,isolation,0.4,0.6,0.4,24
Wrist Rotations with Straight Bar,isolation,0.4,0.6,0.4,24
All Fours Quad Stretch,mobility,0.4,0.6,0.4,24
Band Hip Adductions,isolation,0.4,0.6,0.4,24
Body-Up,isolation,0.4,0.6,0.4,24
Bottoms Up,isolation,0.4,0.6,0.4,24
Chair Leg Extended Stretch,mobility,0.4,0.6,0.4,24
Chair Lower Back Stretch,mobility,0.4,0.6,0.4,24
Chair Upper Body Stretch,mobility,0.4,0.6,0.4,24
Dynamic Back Stretch,mobility,0.4,0.6,0.4,24
Elbows Back,mobility,0.4,0.6,0.4,24
Floor Press with Chains,isolation,0.6,0.8,0.4,48
Heavy Bag Thrust,isolation,0.4,0.6,0.4,24
Lateral Cone Hops,isolation,0.4,0.6,0.4,24
Leg Pull-In,isolation,0.4,0.6,0.4,24
Lower Back Curl,isolation,0.4,0.6,0.4,24
Middle Back Stretch,mobility,0.4,0.6,0.4,24
On-Your-Back Quad Stretch,mobility,0.4,0.6,0.4,24
On Your Side Quad Stretch,mobility,0.4,0.6,0.4,24
Otis-Up,isolation,0.4,0.6,0.4,24
Runner's Stretch,mobility,0.4,0.6,0.4,24
Seated Front Deltoid,mobility,0.4,0.6,0.4,24
Seated Two-Arm Palms-Up Low-Pulley Wrist Curl,isolation,0.4,0.6,0.4,24
Side Jackknife,isolation,0.4,0.6,0.4,24
Side Leg Raises,isolation,0.4,0.6,0.4,24
Sled Overhead Backward Walk,isolation,0.4,0.6,0.4,24
Speed Band Overhead Triceps,isolation,0.4,0.6,0.4,24
Standing Elevated Quad Stretch,mobility,0.4,0.6,0.4,24
Step-up with Knee Raise,isolation,0.4,0.6,0.4,24
Upper Back-Leg Grab,mobility,0.4,0.6,0.4,24
Upper Back Stretch,mobility,0.4,0.6,0.4,24
World's Greatest Stretch,mobility,0.4,0.6,0.4,24
Calorie Row,horizontal_pull,0.6,0.8,0.4,48
Ghd Sit-Ups,conditioning,0.6,0.8,0.4,48
Lateral Burpees Over The Rower,horizontal_pull,0.6,0.8,0.4,48
Knees-To-Elbows,conditioning,0.6,0.8,0.4,48
Air Squats,squat,0.6,0.8,0.4,48
Back-Rack Barbell Carry,conditioning,0.6,0.8,0.4,48
Box Step-Ups,conditioning,0.6,0.8,0.4,48
Burpees,plyometric,0.6,0.8,0.4,48
Calorie Echo Bike,cardio,0.6,0.8,0.4,48
